Data	Erro Sistêmico	Erro Físico	Físico > Sistêmico	Sistêmico > Físico	Etiqueta REJEITADO	Não gerou Etiqueta	Mosaico	Tampa comprometida	Pallet com caixa(s) sem tampa	Caixas danificadas pelo robô	Pallet quebrado	Mistura	Outro
07/07/2025	15	2	9	3	1	1	1	0	0	0	0	0	1
08/07/2025	16	44	7	0	2	7	33	7	1	0	1	0	1
09/07/2025	25	28	11	1	0	6	17	6	0	0	1	0	10
10/07/2025	20	23	10	1	1	1	13	2	0	0	8	0	7
11/07/2025	14	20	6	0	2	5	16	1	1	0	2	0	1
12/07/2025	5	10	1	0	3	1	8	1	1	0	0	0	0
14/07/2025	17	18	12	0	2	1	5	10	0	0	3	0	1
15/07/2025	15	27	8	1	4	1	17	5	0	0	4	0	2
16/07/2025	4	16	2	1	1	0	7	2	0	0	6	1	0
